episode,reward
0,-0.044
200,-0.03
400,0.054
600,0.006
800,0.006
1000,0.036
1200,0.016
1400,0.022
1600,0.034
1800,0.052
2000,-0.002
2200,0.016
2400,0.006
2600,0.024
2800,-0.04
3000,0.002
3200,0.012
3400,-0.024
3600,0.026
3800,0.034
4000,0.038
4200,0.018
4400,-0.012
4600,-0.002
4800,0.006
5000,-0.03
5200,0.068
5400,-0.046
5600,0.03
5800,0.046
6000,0.016
6200,0.048
6400,-0.03
6600,-0.018
6800,0.026
7000,0.062
7200,0.01
7400,0.026
7600,0.006
7800,-0.034
8000,0.024
8200,0.022
8400,0.032
8600,0.026
8800,0.018
9000,-0.016
9200,0.008
9400,0.006
9600,-0.026
9800,-0.024
