episode,reward
90800,0.12
91000,0.164
91200,0.18
91400,0.106
91600,0.024
91800,0.212
92000,0.14
92200,0.118
92400,0.108
92600,0.08
92800,0.142
93000,0.152
93200,0.116
93400,0.108
93600,0.112
93800,0.128
94000,0.132
94200,0.046
94400,0.14
94600,0.156
94800,0.126
95000,0.144
95200,0.158
95400,0.182
95600,0.178
95800,0.154
96000,0.084
96200,0.15
96400,0.192
96600,0.112
96800,0.148
97000,0.116
97200,0.138
97400,0.126
97600,0.114
97800,0.124
98000,0.142
98200,0.084
98400,0.164
98600,0.12
98800,0.166
99000,0.148
99200,0.122
99400,0.218
99600,0.146
99800,0.146
