episode,reward
0,0.06
200,-0.024
400,-0.018
600,0.012
800,0.052
1000,0.034
1200,0.048
1400,-0.006
1600,0.024
1800,0.002
2000,0.068
2200,-0.024
2400,0.052
2600,-0.004
2800,0.006
3000,0.012
3200,-0.01
3400,0.024
3600,0.06
3800,0.052
4000,-0.074
4200,-0.022
4400,-0.048
4600,-0.03
4800,-0.01
5000,-0.004
5200,0.022
5400,0.022
5600,-0.024
5800,-0.026
6000,0.006
6200,-0.04
6400,-0.044
6600,-0.018
6800,-0.026
7000,-0.05
7200,-0.048
7400,-0.05
7600,0.006
7800,-0.034
8000,0.008
8200,-0.028
8400,-0.014
8600,0.05
8800,-0.02
9000,-0.034
9200,-0.032
9400,-0.076
9600,0.008
9800,-0.012
