episode,reward
0,0.008
200,0.014
400,0.018
600,0.028
800,0.004
1000,0.032
1200,0.044
1400,0.022
1600,-0.024
1800,-0.002
2000,0.0
2200,0.002
2400,0.018
2600,0.004
2800,-0.01
3000,-0.028
3200,-0.022
3400,-0.018
3600,-0.008
3800,0.038
4000,-0.092
4200,0.04
4400,0.054
4600,-0.032
4800,-0.014
5000,0.0
5200,0.01
5400,0.02
5600,0.004
5800,-0.074
6000,0.034
6200,0.006
6400,0.026
6600,-0.048
6800,-0.004
7000,0.036
7200,0.02
7400,0.008
7600,0.008
7800,0.034
8000,-0.034
8200,0.03
8400,0.008
8600,0.01
8800,0.002
9000,-0.008
9200,0.028
9400,-0.016
9600,0.026
9800,-0.002
