episode,reward
0,0.008
200,0.008
400,0.054
600,0.034
800,0.022
1000,-0.04
1200,0.016
1400,0.002
1600,0.028
1800,0.05
2000,0.06
2200,0.008
2400,0.018
2600,-0.02
2800,-0.026
3000,0.018
3200,0.02
3400,0.008
3600,0.01
3800,-0.022
4000,0.018
4200,0.016
4400,0.04
4600,-0.01
4800,0.06
5000,0.008
5200,0.032
5400,0.042
5600,0.004
5800,0.022
6000,-0.01
6200,-0.02
6400,-0.02
6600,-0.028
6800,0.04
7000,0.014
7200,0.014
7400,-0.01
7600,0.082
7800,0.002
8000,0.002
8200,0.084
8400,0.038
8600,0.038
8800,-0.014
9000,-0.042
9200,-0.008
9400,0.042
9600,0.068
9800,0.002
