episode,reward
0,-0.004
200,-0.062
400,0.056
600,0.058
800,-0.006
1000,0.046
1200,-0.016
1400,0.0
1600,0.002
1800,0.024
2000,0.024
2200,-0.014
2400,0.01
2600,-0.014
2800,0.018
3000,0.008
3200,-0.01
3400,0.032
3600,0.026
3800,0.014
4000,0.046
4200,0.006
4400,-0.024
4600,-0.048
4800,0.004
5000,0.04
5200,-0.026
5400,-0.048
5600,0.05
5800,-0.034
6000,0.006
6200,0.0
6400,-0.04
6600,0.022
6800,-0.048
7000,-0.032
7200,-0.006
7400,-0.024
7600,0.02
7800,0.024
8000,0.012
8200,-0.068
8400,0.016
8600,-0.026
8800,0.004
9000,-0.046
9200,-0.068
9400,0.018
9600,0.004
9800,0.002
