episode,reward
100,-0.021
200,0.054
300,0.037
400,-0.002
500,0.033
600,0.061
700,0.048
800,0.048
900,0.048
1000,0.048
1100,0.048
1200,0.048
1300,0.048
1400,0.048
1500,0.048
1600,0.048
1700,0.048
1800,0.048
1900,0.048
2000,0.048
2100,0.048
2200,0.048
2300,0.048
2400,0.048
2500,0.048
2600,0.048
2700,0.048
2800,0.048
2900,0.048
3000,0.048
3100,0.048
3200,0.048
3300,0.048
3400,0.048
3500,0.048
3600,0.048
3700,0.048
3800,0.048
3900,0.048
4000,0.048
4100,0.048
4200,0.048
4300,0.048
4400,0.048
4500,0.048
4600,0.048
4700,0.048
4800,0.048
4900,0.048
5000,0.048
5100,0.048
5200,0.048
5300,0.048
5400,0.048
5500,0.048
5600,0.048
5700,0.048
5800,0.048
5900,0.048
6000,0.048
6100,0.048
6200,0.048
6300,0.048
6400,0.048
6500,0.048
6600,0.048
6700,0.048
6800,0.048
6900,0.048
7000,0.048
7100,0.048
7200,0.048
7300,0.048
7400,0.048
7500,0.048
7600,0.048
7700,0.048
7800,0.048
7900,0.048
8000,0.048
8100,0.048
8200,0.048
8300,0.048
8400,0.048
8500,0.048
8600,0.048
8700,0.048
8800,0.048
8900,0.048
9000,0.048
9100,0.048
9200,0.048
9300,0.048
9400,0.048
9500,0.048
9600,0.048
9700,0.048
9800,0.048
9900,0.048
10000,0.048
10100,0.048
10200,0.048
