episode,reward
0,-0.038
200,-0.014
400,-0.016
600,-0.002
800,-0.022
1000,0.1
1200,0.08
1400,0.032
1600,0.012
1800,-0.004
2000,-0.034
2200,-0.012
2400,-0.07
2600,0.028
2800,-0.018
3000,0.104
3200,0.02
3400,0.036
3600,-0.028
3800,0.004
4000,0.02
4200,0.036
4400,-0.014
4600,-0.004
4800,-0.02
5000,-0.012
5200,0.046
5400,0.032
5600,-0.024
5800,-0.01
6000,0.042
6200,0.01
6400,-0.018
6600,0.004
6800,0.048
7000,0.014
7200,0.026
7400,-0.012
7600,0.11
7800,-0.002
8000,0.028
8200,0.008
8400,0.034
8600,0.038
8800,0.028
9000,0.06
9200,-0.016
9400,0.032
9600,0.018
9800,0.04
