episode,reward
0,-0.018
200,-0.03
400,0.06
600,0.02
800,-0.02
1000,0.002
1200,0.04
1400,0.01
1600,0.022
1800,0.022
2000,-0.014
2200,-0.014
2400,0.012
2600,-0.01
2800,0.028
3000,-0.008
3200,0.03
3400,-0.002
3600,-0.006
3800,-0.036
4000,-0.03
4200,0.04
4400,-0.002
4600,-0.016
4800,-0.004
5000,-0.03
5200,0.002
5400,-0.038
5600,-0.022
5800,-0.004
6000,-0.02
6200,0.004
6400,0.006
6600,0.004
6800,-0.014
7000,0.036
7200,0.062
7400,0.016
7600,-0.01
7800,0.032
8000,-0.024
8200,0.048
8400,0.076
8600,0.038
8800,0.072
9000,0.0
9200,0.044
9400,-0.032
9600,-0.078
9800,-0.006
