episode,reward
0,-0.004
200,0.004
400,0.026
600,0.014
800,0.042
1000,0.048
1200,-0.02
1400,0.032
1600,0.036
1800,-0.016
2000,0.042
2200,0.014
2400,0.07
2600,-0.026
2800,0.032
3000,0.004
3200,0.064
3400,0.028
3600,0.01
3800,0.02
4000,0.042
4200,-0.018
4400,-0.04
4600,0.006
4800,-0.056
5000,0.012
5200,0.058
5400,0.024
5600,0.004
5800,0.038
6000,0.002
6200,0.012
6400,0.002
6600,0.054
6800,-0.05
7000,0.062
7200,0.002
7400,0.024
7600,0.03
7800,0.004
8000,0.098
8200,0.03
8400,0.014
8600,-0.024
8800,-0.012
9000,0.042
9200,-0.058
9400,0.016
9600,-0.032
9800,0.008
