# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1780852858.1317341,0,0,0,0.007092198356986046,0.9997676610946655
1,1780852858.7322571,3200,-0.02158273383975029,1.0007739067077637,0.007092198356986046,0.9997676610946655
2,1780852858.7762759,6400,-0.02158273383975029,1.0007739067077637,0.04464199021458626,0.9964247345924377
3,1780852858.7766578,9600,-0.045513592660427094,0.9994298815727234,0.04464199021458626,0.9964247345924377
4,1780852864.402603,12800,0.04145247861742973,0.9921804070472717,0.04464199021458626,0.9964247345924377
5,1780852864.591798,16000,0.04145247861742973,0.9921804070472717,-0.048670049756765366,1.0426123142242432
6,1780852875.1012669,19200,0.0348772369325161,0.9954735636711121,-0.048670049756765366,1.0426123142242432
7,1780852875.462188,22400,0.0348772369325161,0.9954735636711121,-0.046192459762096405,1.0008206367492676
8,1780852885.334096,25600,0.04904000461101532,0.9707859754562378,-0.046192459762096405,1.0008206367492676
9,1780852885.570781,28800,0.04904000461101532,0.9707859754562378,-0.05112719535827637,0.9936648607254028
10,1780852895.811328,32000,0.04451630637049675,1.0067846775054932,-0.05112719535827637,0.9936648607254028
11,1780852896.274525,35200,0.04451630637049675,1.0067846775054932,-0.04380503669381142,1.013761281967163
12,1780852905.816618,38400,0.0507618747651577,0.997042179107666,-0.04380503669381142,1.013761281967163
13,1780852906.7854662,41600,0.0507618747651577,0.997042179107666,-0.045065972954034805,1.0030629634857178
14,1780852916.000075,44800,0.038060709834098816,1.0209639072418213,-0.045065972954034805,1.0030629634857178
15,1780852916.617787,48000,0.038060709834098816,1.0209639072418213,-0.04238548129796982,0.99968421459198
16,1780852925.7874718,51200,0.04113101214170456,0.9838859438896179,-0.04238548129796982,0.99968421459198
17,1780852927.112046,54400,0.04113101214170456,0.9838859438896179,-0.04411720484495163,0.9997190833091736
18,1780852936.0864,57600,0.04275039583444595,1.0120905637741089,-0.04411720484495163,0.9997190833091736
19,1780852937.397136,60800,0.04275039583444595,1.0120905637741089,-0.03779465705156326,1.000935673713684
20,1780852946.217079,64000,0.030109785497188568,1.0021531581878662,-0.03779465705156326,1.000935673713684
21,1780852947.8953211,67200,0.030109785497188568,1.0021531581878662,-0.02984556369483471,0.9992989897727966
22,1780852956.998794,70400,0.01604345813393593,1.0141396522521973,-0.02984556369483471,0.9992989897727966
23,1780852958.600079,73600,0.01604345813393593,1.0141396522521973,-0.022527514025568962,0.9954975843429565
24,1780852967.5649018,76800,0.027996160089969635,0.9928900003433228,-0.022527514025568962,0.9954975843429565
25,1780852969.009173,80000,0.027996160089969635,0.9928900003433228,-0.028093896806240082,0.9992040991783142
26,1780852977.1644359,83200,0.015792353078722954,1.012724757194519,-0.028093896806240082,0.9992040991783142
27,1780852978.9904451,86400,0.015792353078722954,1.012724757194519,-0.01245578471571207,0.9892077445983887
28,1780852986.971851,89600,0.008413493633270264,1.0026267766952515,-0.01245578471571207,0.9892077445983887
29,1780852988.71553,92800,0.008413493633270264,1.0026267766952515,-0.00748746981844306,0.9890190362930298
30,1780852998.320698,96000,0.010237272828817368,0.9982678294181824,-0.00748746981844306,0.9890190362930298
31,1780853000.157726,99200,0.010237272828817368,0.9982678294181824,-0.0123489610850811,1.0239007472991943
32,1780853007.581231,102400,0.005550112575292587,0.9990035891532898,-0.0123489610850811,1.0239007472991943
33,1780853009.4862568,105600,0.005550112575292587,0.9990035891532898,-0.008782793767750263,0.9995129108428955
34,1780853017.7692978,108800,0.0052417730912566185,1.0022053718566895,-0.008782793767750263,0.9995129108428955
35,1780853019.847606,112000,0.0052417730912566185,1.0022053718566895,-0.00829486083239317,0.9931781888008118
36,1780853027.791053,115200,0.004965890198945999,0.9991386532783508,-0.00829486083239317,0.9931781888008118
37,1780853030.3451672,118400,0.004965890198945999,0.9991386532783508,-0.006595131475478411,1.0023066997528076
38,1780853038.352418,121600,0.0069299861788749695,0.9947832226753235,-0.006595131475478411,1.0023066997528076
39,1780853040.4079518,124800,0.0069299861788749695,0.9947832226753235,-0.005356283392757177,1.0103694200515747
40,1780853048.1870122,128000,0.009448989294469357,0.9848383069038391,-0.005356283392757177,1.0103694200515747
41,1780853050.7033029,131200,0.009448989294469357,0.9848383069038391,-0.012853161431849003,1.0028578042984009
42,1780853058.120469,134400,0.013490429148077965,0.9888564944267273,-0.012853161431849003,1.0028578042984009
43,1780853060.693412,137600,0.013490429148077965,0.9888564944267273,-0.011523769237101078,1.003399133682251
44,1780853068.629874,140800,0.005765666253864765,1.0172417163848877,-0.011523769237101078,1.003399133682251
45,1780853071.32109,144000,0.005765666253864765,1.0172417163848877,-0.006191818509250879,1.0003725290298462
46,1780853079.372309,147200,0.003572305664420128,0.9982618689537048,-0.006191818509250879,1.0003725290298462
47,1780853082.1404061,150400,0.003572305664420128,0.9982618689537048,-0.00360049307346344,0.9988729953765869
48,1780853089.017326,153600,0.004762747790664434,0.9871141314506531,-0.00360049307346344,0.9988729953765869
49,1780853091.914714,156800,0.004762747790664434,0.9871141314506531,-0.012152123264968395,1.0037827491760254
50,1780853098.048917,160000,0.011955751106142998,0.983469545841217,-0.012152123264968395,1.0037827491760254
51,1780853101.480713,163200,0.011955751106142998,0.983469545841217,-0.011684734374284744,1.0000319480895996
52,1780853108.129002,166400,0.012618529610335827,0.9909210205078125,-0.011684734374284744,1.0000319480895996
53,1780853111.56673,169600,0.012618529610335827,0.9909210205078125,-0.01346313301473856,1.0001277923583984
54,1780853118.36518,172800,0.010003365576267242,1.0045737028121948,-0.01346313301473856,1.0001277923583984
55,1780853122.306131,176000,0.010003365576267242,1.0045737028121948,-0.013242995366454124,0.9987871646881104
56,1780853129.435316,179200,0.00843562837690115,1.0072150230407715,-0.013242995366454124,0.9987871646881104
57,1780853133.898048,182400,0.00843562837690115,1.0072150230407715,-0.009514253586530685,0.9989579916000366
58,1780853141.134996,185600,0.010174643248319626,0.9875422716140747,-0.009514253586530685,0.9989579916000366
59,1780853145.552157,188800,0.010174643248319626,0.9875422716140747,-0.011544530279934406,0.9985733032226562
60,1780853152.086744,192000,0.009846428409218788,1.0103219747543335,-0.011544530279934406,0.9985733032226562
61,1780853156.139064,195200,0.009846428409218788,1.0103219747543335,-0.011394595727324486,1.00189208984375
62,1780853162.829003,198400,0.013116971589624882,0.9883497357368469,-0.011394595727324486,1.00189208984375
63,1780853166.9463391,201600,0.013116971589624882,0.9883497357368469,-0.010517681017518044,0.9980920553207397
64,1780853173.185029,204800,0.008390482515096664,1.0093069076538086,-0.010517681017518044,0.9980920553207397
65,1780853177.449794,208000,0.008390482515096664,1.0093069076538086,-0.0066339015029370785,0.9962953329086304
66,1780853184.084476,211200,0.00436219060793519,1.0117992162704468,-0.0066339015029370785,0.9962953329086304
67,1780853188.643641,214400,0.00436219060793519,1.0117992162704468,-0.006235946901142597,0.9967472553253174
68,1780853194.742903,217600,0.008375488221645355,0.9907942414283752,-0.006235946901142597,0.9967472553253174
69,1780853199.23508,220800,0.008375488221645355,0.9907942414283752,-0.007667434401810169,1.0003033876419067
70,1780853205.005718,224000,0.007198012433946133,1.0059045553207397,-0.007667434401810169,1.0003033876419067
71,1780853209.208853,227200,0.007198012433946133,1.0059045553207397,-0.005911240354180336,0.9955285787582397
72,1780853215.241737,230400,0.005201669409871101,1.0037728548049927,-0.005911240354180336,0.9955285787582397
73,1780853220.0509,233600,0.005201669409871101,1.0037728548049927,-0.00555979460477829,0.9895332455635071
74,1780853225.575855,236800,0.0048669204115867615,1.0001909732818604,-0.00555979460477829,0.9895332455635071
75,1780853230.559459,240000,0.0048669204115867615,1.0001909732818604,-0.00662806024774909,1.001737356185913
76,1780853236.149804,243200,0.006015086080878973,0.9978793263435364,-0.00662806024774909,1.001737356185913
77,1780853241.218729,246400,0.006015086080878973,0.9978793263435364,-0.007863097824156284,1.005192756652832
78,1780853246.727224,249600,0.011440249159932137,0.9884602427482605,-0.007863097824156284,1.005192756652832
79,1780853252.090163,252800,0.011440249159932137,0.9884602427482605,-0.010252727195620537,0.9991201758384705
80,1780853257.460657,256000,0.01006911788135767,1.0019326210021973,-0.010252727195620537,0.9991201758384705
81,1780853262.836499,259200,0.01006911788135767,1.0019326210021973,-0.008209260180592537,0.9967563152313232
82,1780853267.8432589,262400,0.009484311565756798,0.998888373374939,-0.008209260180592537,0.9967563152313232
83,1780853273.723131,265600,0.009484311565756798,0.998888373374939,-0.010659304447472095,1.0015126466751099
84,1780853278.1264188,268800,0.01038644090294838,0.9937229752540588,-0.010659304447472095,1.0015126466751099
85,1780853284.0600178,272000,0.01038644090294838,0.9937229752540588,-0.011740317568182945,0.998060941696167
86,1780853288.432427,275200,0.010318734683096409,1.0004651546478271,-0.011740317568182945,0.998060941696167
87,1780853294.676973,278400,0.010318734683096409,1.0004651546478271,-0.01232790108770132,0.9983493685722351
88,1780853299.052774,281600,0.012050215154886246,0.9924470782279968,-0.01232790108770132,0.9983493685722351
89,1780853305.3883789,284800,0.012050215154886246,0.9924470782279968,-0.011400354094803333,0.9986149668693542
90,1780853309.5813801,288000,0.012437182478606701,0.9972171187400818,-0.011400354094803333,0.9986149668693542
91,1780853316.084833,291200,0.012437182478606701,0.9972171187400818,-0.011912628076970577,0.9987025260925293
92,1780853319.804836,294400,0.010044901631772518,0.9994266033172607,-0.011912628076970577,0.9987025260925293
93,1780853325.494862,297600,0.010044901631772518,0.9994266033172607,-0.009227557107806206,1.0001063346862793
94,1780853330.2184682,300800,0.00816288311034441,1.0060464143753052,-0.009227557107806206,1.0001063346862793
95,1780853336.1948428,304000,0.00816288311034441,1.0060464143753052,-0.006619857158511877,0.9871281981468201
96,1780853340.181337,307200,0.006635749712586403,1.003218650817871,-0.006619857158511877,0.9871281981468201
97,1780853347.410038,310400,0.006635749712586403,1.003218650817871,-0.005086938850581646,0.9762492179870605
98,1780853351.541582,313600,0.005065126344561577,0.9954155087471008,-0.005086938850581646,0.9762492179870605
99,1780853357.858434,316800,0.005065126344561577,0.9954155087471008,-0.004834823776036501,1.0029041767120361
100,1780853362.2772322,320000,0.003638963447883725,0.9970504641532898,-0.004834823776036501,1.0029041767120361
101,1780853369.094984,323200,0.003638963447883725,0.9970504641532898,-0.00500862393528223,1.012794017791748
