episode,reward
0,-0.012
200,-0.002
400,0.018
600,-0.004
800,0.032
1000,-0.006
1200,0.022
1400,0.034
1600,0.006
1800,-0.02
2000,0.012
2200,0.016
2400,0.006
2600,-0.036
2800,0.078
3000,0.052
3200,0.016
3400,0.098
3600,0.04
3800,0.01
4000,0.016
4200,0.082
4400,0.002
4600,0.022
4800,-0.03
5000,-0.03
5200,0.048
5400,-0.022
5600,0.0
5800,0.058
6000,0.09
6200,-0.03
6400,0.01
6600,0.026
6800,0.012
7000,0.014
7200,0.092
7400,-0.024
7600,0.006
7800,0.0
8000,0.028
8200,0.054
8400,0.02
8600,0.038
8800,0.02
9000,-0.024
9200,-0.018
9400,-0.042
9600,-0.018
9800,-0.056
