episode,reward
0,-0.004
200,-0.018
400,-0.018
600,0.002
800,-0.028
1000,0.002
1200,-0.012
1400,-0.044
1600,0.004
1800,-0.08
2000,0.034
2200,0.034
2400,0.052
2600,0.008
2800,-0.048
3000,0.01
3200,0.05
3400,0.002
3600,-0.004
3800,-0.014
4000,0.026
4200,0.004
4400,0.008
4600,0.012
4800,0.024
5000,-0.09
5200,0.026
5400,-0.002
5600,0.012
5800,0.016
6000,-0.02
6200,0.062
6400,0.026
6600,-0.024
6800,-0.01
7000,0.056
7200,0.064
7400,0.018
7600,0.0
7800,-0.04
8000,0.002
8200,0.036
8400,0.058
8600,0.054
8800,0.022
9000,-0.004
9200,0.012
9400,0.056
9600,-0.012
9800,0.004
