episode,reward
0,0.04
200,0.05
400,0.062
600,-0.024
800,0.0
1000,0.002
1200,0.004
1400,-0.016
1600,0.01
1800,0.006
2000,0.012
2200,0.036
2400,0.006
2600,-0.016
2800,-0.034
3000,0.082
3200,0.01
3400,0.002
3600,0.03
3800,-0.008
4000,0.022
4200,0.016
4400,0.026
4600,-0.024
4800,0.03
5000,-0.016
5200,0.026
5400,0.012
5600,0.08
5800,0.026
6000,0.04
6200,0.02
6400,0.052
6600,0.012
6800,-0.002
7000,0.02
7200,0.016
7400,0.022
7600,-0.006
7800,0.032
8000,-0.014
8200,0.02
8400,0.012
8600,0.04
8800,0.004
9000,0.018
9200,0.002
9400,0.054
9600,-0.002
9800,0.07
