episode,reward
0,-0.018
200,0.06
400,-0.004
600,-0.03
800,-0.024
1000,0.028
1200,-0.046
1400,-0.07
1600,0.042
1800,0.054
2000,0.03
2200,-0.034
2400,-0.044
2600,-0.012
2800,-0.03
3000,-0.022
3200,0.0
3400,-0.004
3600,-0.032
3800,-0.008
4000,-0.04
4200,-0.036
4400,0.0
4600,-0.05
4800,-0.04
5000,-0.032
5200,-0.036
5400,-0.018
5600,-0.002
5800,-0.022
6000,0.014
6200,-0.014
6400,-0.01
6600,-0.02
6800,-0.014
7000,-0.062
7200,0.032
7400,0.006
7600,-0.022
7800,-0.016
8000,-0.052
8200,0.062
8400,0.01
8600,-0.006
8800,-0.084
9000,0.034
9200,-0.02
9400,0.024
9600,-0.012
9800,0.018
