episode,reward
0,0.002
200,0.08
400,0.006
600,0.056
800,0.04
1000,0.082
1200,-0.016
1400,0.032
1600,0.01
1800,0.032
2000,0.018
2200,0.024
2400,-0.012
2600,0.014
2800,-0.044
3000,-0.022
3200,0.018
3400,0.06
3600,0.006
3800,0.014
4000,0.04
4200,0.04
4400,0.054
4600,0.02
4800,0.03
5000,-0.006
5200,-0.008
5400,-0.024
5600,0.078
5800,-0.018
6000,-0.018
6200,0.002
6400,0.058
6600,-0.03
6800,0.078
7000,-0.024
7200,0.016
7400,0.01
7600,-0.068
7800,0.008
8000,-0.008
8200,0.008
8400,0.058
8600,0.024
8800,-0.048
9000,-0.016
9200,0.004
9400,-0.004
9600,-0.028
9800,-0.048
