episode,reward
0,-0.054
200,0.024
400,0.006
600,0.048
800,0.012
1000,0.06
1200,-0.006
1400,0.028
1600,0.016
1800,-0.038
2000,-0.012
2200,0.06
2400,0.004
2600,0.058
2800,0.044
3000,0.142
3200,-0.008
3400,0.022
3600,0.004
3800,0.032
4000,0.042
4200,-0.008
4400,0.046
4600,-0.034
4800,-0.022
5000,-0.01
5200,0.054
5400,0.008
5600,0.06
5800,-0.006
6000,-0.012
6200,0.056
6400,-0.016
6600,0.012
6800,0.03
7000,0.038
7200,0.022
7400,0.0
7600,-0.01
7800,-0.002
8000,0.002
8200,-0.02
8400,-0.03
8600,-0.032
8800,0.002
9000,0.0
9200,0.012
9400,0.036
9600,0.01
9800,0.016
