episode,reward
0,-0.028
200,-0.072
400,-0.054
600,0.01
800,-0.026
1000,-0.024
1200,-0.018
1400,-0.006
1600,0.058
1800,-0.008
2000,0.004
2200,0.02
2400,0.02
2600,0.022
2800,0.022
3000,0.018
3200,-0.032
3400,0.04
3600,0.066
3800,0.014
4000,-0.022
4200,0.004
4400,-0.064
4600,-0.052
4800,-0.008
5000,0.01
5200,-0.004
5400,-0.042
5600,-0.014
5800,-0.018
6000,0.016
6200,0.012
6400,0.02
6600,-0.002
6800,0.004
7000,-0.044
7200,0.012
7400,-0.016
7600,0.022
7800,-0.026
8000,0.014
8200,-0.076
8400,-0.002
8600,0.018
8800,0.024
9000,-0.03
9200,-0.018
9400,-0.03
9600,0.002
9800,-0.026
