episode,reward
0,0.032
200,-0.006
400,0.018
600,-0.008
800,0.006
1000,-0.036
1200,0.0
1400,0.026
1600,0.0
1800,0.008
2000,-0.016
2200,-0.008
2400,0.012
2600,-0.002
2800,0.066
3000,-0.038
3200,-0.024
3400,-0.07
3600,0.006
3800,0.048
4000,-0.03
4200,-0.022
4400,-0.014
4600,0.002
4800,-0.098
5000,-0.044
5200,0.042
5400,-0.06
5600,-0.016
5800,0.01
6000,0.086
6200,0.002
6400,-0.006
6600,0.062
6800,0.06
7000,-0.036
7200,0.042
7400,0.004
7600,0.03
7800,0.04
8000,0.034
8200,0.004
8400,-0.008
8600,0.032
8800,0.006
9000,0.048
9200,0.054
9400,0.048
9600,0.034
9800,0.028
