episode,reward
0,0.046
200,-0.006
400,-0.014
600,-0.004
800,0.016
1000,0.03
1200,-0.024
1400,-0.044
1600,-0.064
1800,0.02
2000,-0.004
2200,-0.02
2400,0.014
2600,0.004
2800,0.032
3000,0.032
3200,0.046
3400,-0.006
3600,0.0
3800,-0.024
4000,-0.006
4200,0.002
4400,-0.014
4600,0.012
4800,0.052
5000,0.032
5200,0.034
5400,-0.044
5600,-0.032
5800,-0.034
6000,-0.014
6200,-0.006
6400,-0.014
6600,0.008
6800,0.014
7000,0.002
7200,-0.01
7400,0.04
7600,-0.032
7800,-0.018
8000,-0.01
8200,0.016
8400,-0.056
8600,-0.008
8800,0.016
9000,0.056
9200,0.036
9400,0.018
9600,-0.032
9800,0.008
