episode,reward
100,0.024
200,0.003
300,0.01
400,0.042
500,0.038
600,0.027
700,0.029
800,0.029
900,0.029
1000,0.029
1100,0.029
1200,0.029
1300,0.029
1400,0.029
1500,0.029
1600,0.029
1700,0.029
1800,0.029
1900,0.029
2000,0.029
2100,0.029
2200,0.029
2300,0.029
2400,0.029
2500,0.029
2600,0.029
2700,0.029
2800,0.029
2900,0.029
3000,0.029
3100,0.029
3200,0.029
3300,0.029
3400,0.029
3500,0.029
3600,0.029
3700,0.029
3800,0.029
3900,0.029
4000,0.029
4100,0.029
4200,0.029
4300,0.029
4400,0.029
4500,0.029
4600,0.029
4700,0.029
4800,0.029
4900,0.029
5000,0.029
5100,0.029
5200,0.029
5300,0.029
5400,0.029
5500,0.029
5600,0.029
5700,0.029
5800,0.029
5900,0.029
6000,0.029
6100,0.029
6200,0.029
6300,0.029
6400,0.029
6500,0.029
6600,0.029
6700,0.029
6800,0.029
6900,0.029
7000,0.029
7100,0.029
7200,0.029
7300,0.029
7400,0.029
7500,0.029
7600,0.029
7700,0.029
7800,0.029
7900,0.029
8000,0.029
8100,0.029
8200,0.029
8300,0.029
8400,0.029
8500,0.029
8600,0.029
8700,0.029
8800,0.029
8900,0.029
9000,0.029
9100,0.029
9200,0.029
9300,0.029
9400,0.029
9500,0.029
9600,0.029
9700,0.029
9800,0.029
9900,0.029
10000,0.029
10100,0.029
10200,0.029
