# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1780852858.359585,0,0,0,-0.05806451663374901,0.9999502301216125
1,1780852858.362751,3200,0.05263157933950424,0.9973108172416687,-0.05806451663374901,0.9999502301216125
2,1780852859.017486,6400,0.050791315734386444,0.9969999194145203,-0.05806451663374901,0.9999502301216125
3,1780852859.018316,9600,0.050791315734386444,0.9969999194145203,-0.049580201506614685,1.0029149055480957
4,1780852864.509181,12800,0.013171221129596233,1.0048410892486572,-0.049580201506614685,1.0029149055480957
5,1780852864.9812632,16000,0.013171221129596233,1.0048410892486572,-0.01291924063116312,1.0009862184524536
6,1780852874.772501,19200,0.004064462147653103,0.9996211528778076,-0.01291924063116312,1.0009862184524536
7,1780852875.408482,22400,0.004064462147653103,0.9996211528778076,0.002407343126833439,0.9986699819564819
8,1780852884.629161,25600,0.01077036652714014,1.0055019855499268,0.002407343126833439,0.9986699819564819
9,1780852885.751832,28800,0.01077036652714014,1.0055019855499268,-0.011963015422224998,0.991504430770874
10,1780852895.598517,32000,0.020712396129965782,1.0072202682495117,-0.011963015422224998,0.991504430770874
11,1780852896.608053,35200,0.020712396129965782,1.0072202682495117,-0.02848769724369049,1.0331060886383057
12,1780852905.710458,38400,0.036120831966400146,0.9926722049713135,-0.02848769724369049,1.0331060886383057
13,1780852906.7826,41600,0.036120831966400146,0.9926722049713135,-0.036490462720394135,1.0018237829208374
14,1780852915.595093,44800,0.05067352205514908,0.9846659898757935,-0.036490462720394135,1.0018237829208374
15,1780852916.994307,48000,0.05067352205514908,0.9846659898757935,-0.05425058305263519,0.9943536520004272
16,1780852925.552468,51200,0.07241833209991455,0.9551012516021729,-0.05425058305263519,0.9943536520004272
17,1780852927.0900311,54400,0.07241833209991455,0.9551012516021729,-0.07165433466434479,0.9770147204399109
18,1780852935.487117,57600,0.06590642780065536,1.0069080591201782,-0.07165433466434479,0.9770147204399109
19,1780852937.2500858,60800,0.06590642780065536,1.0069080591201782,-0.06229912117123604,1.0196449756622314
20,1780852945.826189,64000,0.05342143401503563,1.0040792226791382,-0.06229912117123604,1.0196449756622314
21,1780852948.016416,67200,0.05342143401503563,1.0040792226791382,-0.0495433583855629,1.0087207555770874
